x,y,z
3009.037,995.7629,-1644.589
3024.341,986.3685,-1629.743
3039.734,976.8762,-1614.852
3055.218,967.2857,-1599.915
3070.793,957.5966,-1584.93
3086.459,947.8094,-1569.894
3102.209,937.9288,-1554.813
3118.039,927.9587,-1539.689
3133.942,917.9036,-1524.527
3149.913,907.7675,-1509.329
3165.945,897.5554,-1494.101
3182.033,887.2715,-1478.845
3198.17,876.9202,-1463.566
3214.352,866.5053,-1448.265
3230.571,856.0323,-1432.949
3246.823,845.505,-1417.621
3263.101,834.9279,-1402.284
3279.399,824.3053,-1386.942
3295.712,813.6412,-1371.597
3312.033,802.941,-1356.256
3328.357,792.2085,-1340.921
3344.678,781.4482,-1325.596
3360.99,770.6639,-1310.284
3377.287,759.861,-1294.99
3393.562,749.0436,-1279.717
3409.811,738.2159,-1264.469
3426.027,727.3824,-1249.25
3442.206,716.547,-1234.062
3458.339,705.715,-1218.911
3474.422,694.8904,-1203.8
3490.449,684.0776,-1188.733
3506.415,673.2805,-1173.712
3522.312,662.5044,-1158.743
3538.135,651.7532,-1143.829
3553.878,641.0316,-1128.973
3569.536,630.3431,-1114.179
3585.102,619.6933,-1099.451
3600.571,609.0862,-1084.794
3615.937,598.5259,-1070.209
3631.193,588.0171,-1055.702
3646.334,577.5635,-1041.276
3661.354,567.1708,-1026.934
3676.248,556.8425,-1012.682
3691.008,546.5832,-998.5211
3705.631,536.3968,-984.4557
3720.108,526.2887,-970.4907
3734.436,516.2628,-956.6292
3748.606,506.3235,-942.8748
3762.616,496.4747,-929.2307
3776.456,486.7218,-915.7018
3790.123,477.0687,-902.2914
3803.61,467.5197,-889.0031
3816.911,458.0794,-875.8406
3830.021,448.7516,-862.807
3842.933,439.5417,-849.9075
3855.641,430.4536,-837.1451
3868.14,421.4916,-824.5233
3880.429,412.6578,-812.0427
3892.509,403.9533,-799.7015
3904.383,395.3773,-787.4961
3916.055,386.9297,-775.4235
3927.527,378.6106,-763.4806
3938.804,370.4193,-751.6639
3949.888,362.3566,-739.9714
3960.782,354.422,-728.3996
3971.489,346.6153,-716.9454
3982.012,338.936,-705.6053
3992.355,331.3848,-694.3772
4002.52,323.9613,-683.2576
4012.511,316.6653,-672.2437
4022.331,309.4963,-661.3315
4031.983,302.455,-650.5195
4041.469,295.5409,-639.8037
4050.793,288.7538,-629.1814
4059.959,282.0937,-618.6493
4068.969,275.5601,-608.204
4077.826,269.1535,-597.8436
4086.534,262.8737,-587.5643
4095.095,256.7203,-577.3633
4103.514,250.693,-567.2369
4111.791,244.7924,-557.1832
4119.931,239.0179,-547.1985
4127.938,233.3696,-537.28
4135.813,227.8472,-527.4245
4143.561,222.4504,-517.6285
4151.185,217.1797,-507.89
4158.686,212.0346,-498.2054
4166.068,207.015,-488.5717
4173.336,202.1207,-478.9854
4180.491,197.3519,-469.4445
4187.537,192.7083,-459.9454
4194.477,188.1898,-450.485
4201.314,183.7961,-441.06
4208.051,179.5275,-431.6681
4214.69,175.3837,-422.3059
4221.237,171.3645,-412.9704
4227.693,167.47,-403.6585
4234.062,163.6996,-394.3667
4240.345,160.0538,-385.093
4246.548,156.5323,-375.8337
4252.672,153.1349,-366.586
4258.722,149.8613,-357.3463
4264.699,146.7118,-348.1124
4270.607,143.6861,-338.881
4276.451,140.784,-329.6489
4282.231,138.0054,-320.4127
4287.951,135.3504,-311.1703
4293.616,132.8188,-301.9181
4299.226,130.4102,-292.6527
4304.783,128.1232,-283.3737
4310.287,125.9548,-274.0777
4315.732,123.9029,-264.7652
4321.123,121.9644,-255.4329
4326.456,120.137,-246.0805
4331.727,118.4182,-236.7074
4336.939,116.8051,-227.3103
4342.089,115.2952,-217.889
4347.176,113.8862,-208.4428
4352.198,112.5751,-198.9686
4357.154,111.3596,-189.4668
4362.045,110.2369,-179.9342
4366.866,109.2045,-170.3703
4371.619,108.2598,-160.7747
4376.3,107.4002,-151.144
4380.91,106.6231,-141.4789
4385.447,105.9259,-131.7761
4389.911,105.306,-122.035
4394.297,104.7609,-112.2553
4398.608,104.2878,-102.4337
4402.84,103.8843,-92.56973
4406.994,103.5478,-82.66298
4411.066,103.2755,-72.71013
4415.057,103.0651,-62.71176
4418.965,102.9137,-52.66451
